日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2013-02-22,601899,1.65,1.65,1.67,1.64,449080,165813305.0,1.83,0.61,0.01,0.28,2013-02-22,0,0.0060975609756097615,0,1.7099999999999997,1.779,-0.0350877192982455,-0.07251264755480613,39.21568627450981,-0.013661462882361697,0.008286004490486894,-0.02194746737284859,1.779,0.06381717307268954,1.906634346145379,1.6513656538546209
2013-02-25,601899,1.66,1.64,1.67,1.63,373531,137651699.0,2.42,-0.61,-0.01,0.24,2013-02-25,0,-0.0060606060606061,0,1.684,1.77,-0.026128266033254133,-0.07344632768361592,36.0,-0.021677656224662778,0.0022932723474569593,-0.023970928572119736,1.77,0.07011269124578383,1.9102253824915676,1.6297746175084324
2013-02-26,601899,1.65,1.6,1.67,1.59,570697,209698372.0,4.88,-2.44,-0.04,0.36,2013-02-26,0,-0.024390243902438935,0,1.656,1.7615000000000003,-0.033816425120772875,-0.09168322452455302,33.96226415094341,-0.030901993957523466,-0.004345780913539126,-0.02655621304398434,1.7615000000000003,0.07975455769877204,1.9210091153975444,1.6019908846024562
2013-02-27,601899,1.63,1.63,1.65,1.6,386919,141785409.0,3.13,1.88,0.03,0.24,2013-02-27,0,0.018749999999999822,0,1.6320000000000001,1.7544999999999997,-0.001225490196078538,-0.0709603875748076,29.999999999999986,-0.03538371732136003,-0.010553368195103307,-0.024830349126256722,1.7544999999999997,0.08494425416608321,1.9243885083321661,1.5846114916678333
2013-02-28,601899,1.62,1.66,1.68,1.59,609150,223931020.0,5.52,1.84,0.03,0.39,2013-02-28,0,0.01840490797546024,0,1.636,1.7510000000000001,0.014669926650366705,-0.05197030268418057,35.29411764705881,-0.036098643406173636,-0.015662423237317372,-0.020436220168856264,1.7510000000000001,0.08741311475757904,1.9258262295151582,1.576173770484842
2013-03-01,601899,1.65,1.65,1.65,1.61,469379,172146343.0,2.41,-0.6,-0.01,0.3,2013-03-01,0,-0.0060240963855421326,0,1.636,1.7469999999999999,0.008557457212713837,-0.055523755008586084,31.999999999999986,-0.03704511092668383,-0.019938960775190667,-0.017106150151493166,1.7469999999999999,0.09021028066071468,1.9274205613214292,1.5665794386785705
2013-03-04,601899,1.61,1.59,1.66,1.58,616916,225713164.0,4.85,-3.64,-0.06,0.39,2013-03-04,0,-0.036363636363636265,0,1.626,1.7384999999999997,-0.022140221402213944,-0.08541846419326982,23.076923076923066,-0.042150803588887564,-0.02438132933793005,-0.017769474250957516,1.7384999999999997,0.09669675877679505,1.9318935175535898,1.5451064824464096
2013-03-05,601899,1.59,1.6,1.61,1.55,716967,259768206.0,3.77,0.63,0.01,0.45,2013-03-05,0,0.0062893081761006275,0,1.6260000000000001,1.7294999999999998,-0.01599015990159902,-0.0748771321191094,26.530612244897952,-0.04487291831182372,-0.028479647132708785,-0.016393271179114932,1.7294999999999998,0.10091554572247113,1.931331091444942,1.5276689085550577
2013-03-06,601899,1.6,1.62,1.62,1.57,671090,243462720.0,3.13,1.25,0.02,0.42,2013-03-06,0,0.012499999999999956,0,1.6239999999999999,1.7220000000000002,-0.0024630541871919487,-0.059233449477351985,24.999999999999986,-0.044898815393191516,-0.031763480784805335,-0.01313533460838618,1.7220000000000002,0.10329314442040075,1.9285862888408016,1.5154137111591988
2013-03-07,601899,1.6,1.61,1.64,1.57,636136,231728846.0,4.32,-0.62,-0.01,0.4,2013-03-07,0,-0.006172839506172867,0,1.614,1.7109999999999999,-0.0024783147459727095,-0.05902980713033301,22.916666666666657,-0.04520515851513851,-0.03445181633087197,-0.010753342184266539,1.7109999999999999,0.10290005370588984,1.9168001074117795,1.5051998925882202
2013-03-08,601899,1.6,1.58,1.6,1.57,575074,208150420.0,1.86,-1.86,-0.03,0.36,2013-03-08,0,-0.018633540372670843,0,1.6,1.6995,-0.012499999999999956,-0.07031479847013822,26.82926829268291,-0.0473231748241838,-0.03702608802953434,-0.010297086794649461,1.6995,0.10409889023141437,1.9076977804628288,1.4913022195371712
2013-03-11,601899,1.58,1.56,1.58,1.54,483698,174067396.0,2.53,-1.27,-0.02,0.31,2013-03-11,0,-0.012658227848101222,0,1.594,1.686,-0.021329987452948562,-0.07473309608540923,27.5,-0.05003873546717719,-0.03962861751706291,-0.010410117950114275,1.686,0.10379128855058717,1.8935825771011743,1.4784174228988256
2013-03-12,601899,1.56,1.53,1.58,1.5,691336,247091788.0,5.13,-1.92,-0.03,0.44,2013-03-12,0,-0.019230769230769273,0,1.58,1.669,-0.03164556962025322,-0.08328340323547034,23.809523809523796,-0.05398923186305882,-0.042500740386262094,-0.011488491476796724,1.669,0.09983670878538022,1.8686734175707604,1.4693265824292396
2013-03-13,601899,1.53,1.51,1.55,1.5,547341,194960569.0,3.27,-1.31,-0.02,0.35,2013-03-13,0,-0.013071895424836666,0,1.558,1.653,-0.030808729139923052,-0.08650937689050209,30.303030303030297,-0.058064529815808674,-0.04561349827217141,-0.012451031543637262,1.653,0.09830671658823859,1.849613433176477,1.456386566823523
2013-03-14,601899,1.5,1.49,1.52,1.47,501917,176995232.0,3.31,-1.32,-0.02,0.32,2013-03-14,0,-0.013245033112582738,0,1.534,1.6345000000000003,-0.028683181225554133,-0.08840624044050183,26.4705882352941,-0.062191164624193274,-0.04892903154257579,-0.013262133081617486,1.6345000000000003,0.09190813491308973,1.8183162698261797,1.450683730173821
2013-03-15,601899,1.49,1.44,1.5,1.42,1572790,549973488.0,5.37,-3.36,-0.05,1.0,2013-03-15,0,-0.033557046979865834,0,1.506,1.613,-0.043824701195219196,-0.10725356478611281,23.68421052631578,-0.06870415583162637,-0.05288405640038591,-0.015820099431240457,1.613,0.0838607868970508,1.7807215737941016,1.4452784262058984
2013-03-18,601899,1.45,1.42,1.45,1.41,497024,172457953.0,2.78,-1.39,-0.02,0.31,2013-03-18,0,-0.01388888888888895,0,1.478,1.5955,-0.039242219215155694,-0.10999686618614857,24.99999999999997,-0.07461941497327196,-0.05723112811496312,-0.017388286858308837,1.5955,0.08586862670776273,1.7672372534155254,1.4237627465844744
2013-03-19,601899,1.43,1.45,1.45,1.42,571455,198744534.0,2.11,2.11,0.03,0.36,2013-03-19,0,0.021126760563380254,0,1.462,1.581,-0.008207934336525335,-0.08285895003162558,25.000000000000014,-0.07601035116717347,-0.060986972725405195,-0.015023378441768279,1.581,0.08466031195960964,1.7503206239192193,1.4116793760807806
2013-03-20,601899,1.45,1.48,1.49,1.45,891591,312922640.0,2.76,2.07,0.03,0.56,2013-03-20,0,0.020689655172413834,0,1.456,1.5675,0.016483516483516425,-0.055821371610845216,25.000000000000014,-0.07384073877017694,-0.06355772593435954,-0.010283012835817396,1.5675,0.0775190978170014,1.7225381956340027,1.412461804365997
2013-03-21,601899,1.5,1.47,1.5,1.45,647604,227584862.0,3.38,-0.68,-0.01,0.41,2013-03-21,0,-0.006756756756756799,0,1.452,1.559,0.012396694214876103,-0.05708787684413086,25.000000000000014,-0.0720971308948073,-0.0652656069264491,-0.006831523968358191,1.559,0.07846554725042934,1.7159310945008586,1.4020689054991413
2013-03-22,601899,1.47,1.48,1.49,1.45,581931,204491511.0,2.72,0.68,0.01,0.37,2013-03-22,0,0.006802721088435382,0,1.46,1.5505,0.013698630136986356,-0.04546920348274752,32.25806451612904,-0.06911171582555986,-0.06603482870627125,-0.003076887119288607,1.5505,0.07728791013268466,1.7050758202653693,1.3959241797346307
